ID,Name,2019 Revenue,2019 Expenses,2019 Profit,2019 Growth %,2018 Revenue,2018 Expenses,2018 Profit,2018 Growth %,2017 Revenue,2017 Expenses,2017 Profit,Industry,Description,Employees,State,City,Metro Area,Year Founded,Total Growth %,Avg Revenue (2017-2019),Avg Expenses (2017-2019),Avg Profit (2017-2019),Company Founded Longevity,Growth rate in Last 3 Years in %,Admin Spend (2019) Ratio,Marketing & Sales Spend (2019) Ratio,R&D Spend (2019) Ratio,Admin Spend (2019),Marketing & Sales Spend (2019),R&D Spend (2019),Result
496,Bindauthorized,9444651.73,1211122.66,8233529.07,4.09,1856349,274358.73,1581990.27,3.41,420940.82,99569.3,321371.52,Health,Provides private medical practices with electronic health record implementation and practice management services.,31,FL,Tampa,Tampa,2015,21.44,3907313.85,528350.23,3378963.62,5,10.72,0.208,0.2699,0.5221,251913.513,326882.006,632327.141,1
497,Wackparticle,6265704.85,384883.37,5880821.48,3.67,1342087,77351.1,1264735.9,2.61,371769.25,25393.94,346375.31,Energy,"Provides pipeline, maintenance and integrity services to the oil, gas and power industries.",2958,TX,The Woodlands,Houston,2015,15.85,2659853.7,162542.8,2497310.9,5,7.925,0.2813,0.3378,0.3809,108267.692,130013.602,146602.076,0
498,Pointchough,6059869.66,4986520.34,1073349.32,3.56,1328659,941065.05,387593.95,,,,,Software,"Provides health information system, analytical service and Web application consulting for government, business and nonprofit agencies.",36,MD,Baltimore,Baltimore,2018,,,,,2,,0.26,0.3351,0.4049,1296495.288,1670982.966,2019042.086,0
499,Dewflags,8844903.31,2962054.46,5882848.84,2.81,2321788,860181.98,1461606.02,2.32,699333.73,389182.17,310151.56,Logistics & Transportation,Helps clients manage shipping costs by auditing invoices to correct overcharging and providing data management and reporting platforms.,8,UT,Lehi,"Provo-Orem, UT",2016,11.65,3955341.68,1403806.2,2551535.47,4,5.825,0.2015,0.2477,0.5508,596853.974,733700.89,1631499.597,0
500,Kidneyedgalvanic,5670157.93,2714316.71,2955841.23,3.4,1288297,705373.43,582923.57,,,,,Human Resources,"Specializes in the placement of qualified professionals in medical, legal, technology and office positions nationwide.",75,DC,Washington,"Washington, DC",2018,,,,,2,,0.2298,0.2662,0.504,623749.98,722551.108,1368015.622,0
501,Sootycrushing,12352261.7,6195130.05,6157131.65,4.02,2462580,1359997.6,1102582.4,3.77,516264.15,409751.06,106513.09,Software,"A technology systems integrator that provides strategies for data storage, networking, security and applications to the federal government and fortune 500 companies.",41,VA,Reston,"Washington, DC",2015,22.93,5110368.62,2654959.57,2455409.05,5,11.465,0.2258,0.2468,0.5274,1398860.365,1528958.096,3267311.588,0
502,Nitrogenwoodlark,7262552.11,2968768.35,4293783.76,4.73,1268323,404262.58,864060.42,,,,,Food & Beverage,A franchise that offers premium rotating yogurt flavors and toppings using milk that has not been treated with rBST and featuring live and active cultures that have health benefits.,5625,CA,Encino,Los Angeles,2018,,,,,2,,0.2148,0.2279,0.5573,637691.442,676582.307,1654494.601,0
503,Reelingrebel,7334119.4,2224268.29,5109851.11,3.31,1702275,404032.98,1298242.02,3.1,415189.02,83935.24,331253.78,Human Resources,"Provides temporary staffing and direct placement services to the light industrial, clerical and professional services sector.",938,IN,Columbus,"Columbus, IN",2017,16.66,3150527.81,904078.84,2246448.97,3,8.33,0.2881,0.279,0.4329,640811.694,620570.853,962885.743,0
504,Cometscasting,5041968.93,3293813.72,1748155.22,2.55,1419369,1183485,235884,,,,,Health,"Provides a data warehouse platform that integrates data from hospital source transaction systems into source data marts to help its client hospitals save money and make sense of financial, operational and patient experience data in transactional system silos across their organization.",134,UT,Salt Lake City,Salt Lake City,2018,,,,,2,,0.287,0.2837,0.4293,945324.538,934454.952,1414034.23,0
505,Peamuddy,7933684.88,4925005.1,3008679.78,2,2640311,1281169.52,1359141.48,0.07,2467580.37,1621939.23,845641.14,Insurance,"Specializes in providing health insurance, education and outreach to seniors.",25,TN,Brentwood,Nashville,2015,2.22,4347192.08,2609371.28,1737820.8,5,1.11,0.1859,0.3431,0.471,915558.448,1689769.25,2319677.402,0
506,Proteincosines,8304317.97,6770283.27,1534034.7,3.68,1775410,1507414.05,267995.95,4.11,347438.36,256609,90829.36,Health,"Provides integrated healthcare information technology services to organizations including surgery centers, medical practices and hospitals.",19,NJ,Rutherford,New York City,2015,22.9,3475722.11,2844768.77,630953.34,5,11.45,0.2731,0.2048,0.5221,1848964.361,1386554.014,3534764.895,0
507,Gleanworn,10861214.27,9046498.05,1814716.22,4.33,2037734,1527796.65,509937.35,3.94,412496.76,307543,104953.76,IT Services,A technology company that offers simple tech services to solve complicated technological problems businesses may encounter.,9,MI,Sterling Heights,Detroit,2016,25.33,4437148.34,3627279.23,809869.11,4,12.665,0.2289,0.2058,0.5653,2070743.404,1861769.299,5113985.348,0
508,Thinkableexecute,8826668.36,3659846.36,5166822,3.26,2073851,817040.49,1256810.51,4.4,384046.48,181203.97,202842.51,Consumer Products & Services,Provides bulk book purchasing power to enterprise customers.,8,CA,Irvine,Los Angeles,2013,21.98,3761521.95,1552696.94,2208825.01,7,10.99,0.2841,0.2823,0.4336,1039762.351,1033174.627,1586909.382,0
509,Centerbarriers,6603581.23,2365703.59,4237877.64,3.48,1475115,636747.87,838367.13,2.46,426333.82,132815.45,293518.37,Manufacturing,"Provides sorting, inspecting and quality assurance services to manufacturers of parts and components in the automotive, medical device and recreational vehicle industries. It helps suppliers and OEMs identify the root cause of quality problems, minimize defects and reduce costs associated with quality issues.",1299,IN,Fishers,"Indianapolis, IN",2013,14.49,2835010.02,1045088.97,1789921.05,7,7.245,0.2778,0.2819,0.4403,657192.457,666891.842,1041619.291,0
510,Girollesjones,7716840.73,2603879.47,5112961.26,2.31,2330813,612650.3,1718162.7,1.89,806509.69,190733.88,615775.81,Energy,Provides comprehensive oil field drilling and production services to oil & gas companies throughout the United States.,362,CO,Denver,Denver,2015,8.57,3618054.47,1135754.55,2482299.92,5,4.285,0.2336,0.244,0.5224,608266.244,635346.591,1360266.635,0
511,Chadhelpful,5462149.41,3738581.38,1723568.03,2.95,1382891,1031015.44,351875.56,0.72,804006.4,1127138.21,-323131.81,IT Services,"Provides enterprise performance management, business analytics and information management. Services include business planning, data integration and technology infrastructure.",62,MA,Boston,Boston,2015,5.79,2549682.27,1965578.34,584103.93,5,2.895,0.2313,0.2787,0.49,864733.873,1041942.631,1831904.876,0
512,Weedycavus,8587452.65,5405470.15,3181982.5,4.39,1592645,978452.97,614192.03,3.13,385628.33,223558.03,162070.3,Government Services,"Offers expertise in IT services such as cyber security, software and database development and IT operations and maintenance.",150,MD,Rockville,"Washington, DC",2015,21.27,3521908.66,2202493.72,1319414.94,5,10.635,0.2371,0.2325,0.5304,1281636.973,1256771.81,2867061.368,0
513,Reliablepaver,16810051.07,3354028.81,13456022.27,5.36,2643851,566039.75,2077811.25,5.09,434129.89,91926.51,342203.38,IT Services,"Provides enterprise consulting, cloud platform migration, custom application development and change management services and managed services. It is a Google Premier Enterprise Reseller and Microsoft National Systems Integrator with Gold Competency.",91,CA,North Hollywood,Los Angeles,2015,37.72,6629343.99,1337331.69,5292012.3,5,18.86,0.1998,0.3274,0.4728,670134.956,1098109.032,1585784.821,1
514,Kittensteller,12398856.13,5853833.1,6545023.03,4.22,2373844,1137477.6,1236366.4,2.8,624695.79,235536.2,389159.59,Logistics & Transportation,"A freight brokerage, truckload, and less-than-truckload logistics provider.",8,IN,Indianapolis,"Indianapolis, IN",2015,18.85,5132465.31,2408948.97,2723516.34,5,9.425,0.1483,0.2799,0.5718,868123.449,1638487.885,3347221.767,0
515,Initialbricklayer,8583181.69,5503515.06,3079666.63,3.49,1910170,1529802.97,380367.03,1.82,677365.25,1648024.53,-970659.28,Food & Beverage,"Manufactures and markets a line of cut fruit under True Fruit label and distributes it to more than 6,000 grocery and convenience stores in the U.S. and Canada.",8,CA,Orinda,San Francisco,2014,11.67,3723572.31,2893780.85,829791.46,6,5.835,0.2145,0.2415,0.544,1180503.98,1329098.887,2993912.193,0
516,Circlechop,10067070.27,5929827.72,4137242.55,4.56,1811243,1335466.3,475776.7,5.08,297901.81,266598.65,31303.16,Software,"Designs and develops interactive technology products and services. Products include a grid-based music sequencing software and services include interactive museum displays, touch-screen programs for stores and mobile interactive programs.",14,CA,San Francisco,San Francisco,2014,32.79,4058738.36,2510630.89,1548107.47,6,16.395,0.2528,0.308,0.4392,1499060.448,1826386.938,2604380.335,0
517,Itemswazzed,8893687.8,1417655.96,7476031.84,3.68,1899649,265256.03,1634392.97,2.56,533609.27,58267.71,475341.56,IT Services,"Provides a wide range of IT services, including product engineering, migration, process outsourcing, consulting, cloud computing, business intelligence, staffing, and mobile development.",13,MN,Edina,Minneapolis,2008,15.67,3775648.69,580393.23,3195255.46,12,7.835,0.2139,0.2686,0.5175,303236.61,380782.391,733636.959,0
518,Sparrowchorizo,8163038.48,3439228.49,4723810,4.8,1408032,480148.26,927883.74,4.61,250986.1,86825.43,164160.67,IT Services,"Delivers database managed services, including database administration, staffing and emergency support to nearly 300 mid-sized to Fortune 100 businesses.",425,CO,Broomfield,Denver,2015,31.52,3274018.86,1335400.73,1938618.14,5,15.76,0.2173,0.2361,0.5466,747344.351,812001.846,1879882.293,0
519,Forcepdark,7159823.68,5768330.56,1391493.12,5.08,1176995,1013206.91,163788.09,2.4,346175,192729.83,153445.17,Human Resources,"Provides executive search and contract staffing services in the private, public and health care sectors.",43,GA,Atlanta,Atlanta,2017,19.68,2894331.23,2324755.77,569575.46,3,9.84,0.1498,0.2833,0.5669,864095.918,1634168.048,3270066.594,0
520,Corylisten,8625291.85,7718965.6,906326.26,3.73,1822766,2359742.22,-536976.22,3.92,370480.89,1051952.32,-681471.43,Engineering,"A consultant in environmental services, energy and climate change services, IT and intelligence for major utilities, heavy industries, private sector and government agencies. Redhorse integrates information and technology with analysis and behavior to improve decision making, optimize operations, reduce ris, and help customers achieve their performance goals.",82,CA,San Diego,San Diego,2014,22.28,3606179.58,3710220.05,-104040.46,6,11.14,0.1612,0.239,0.5998,1244297.255,1844832.778,4629835.567,0
521,Pumpkinmothers,9837181.66,4500699.86,5336481.81,3.12,2385159,1011886.79,1373272.21,0.39,1715941.73,1137833.48,578108.25,Health,"A consulting and professional services corporation providing services in public health science, bioinformatics and health IT.",101,GA,Atlanta,Atlanta,2015,4.73,4646094.13,2216806.71,2429287.42,5,2.365,0.2671,0.3112,0.4217,1202136.933,1400617.796,1897945.131,0
522,Matcapillary,10056895.21,5293164.2,4763731.01,3.43,2269073,1088558.49,1180514.51,2.38,671323.37,260896.41,410426.96,Software,Provides Netsuite integration connectors to solve end-to-end business processes that span multiple applications. It offers a mix of pre-built SmartConnectors and custom integrations for over 900 customers.,64,CA,Redwood City,San Francisco,2015,13.98,4332430.53,2214206.37,2118224.16,5,6.99,0.2147,0.2244,0.5609,1136442.354,1187786.046,2968935.8,0
523,Presslute,10618249.06,4669809.87,5948439.2,4.07,2093199,974316.44,1118882.56,3.88,428934.22,450878.72,-21944.5,Construction,"Designs, installs, and maintains commercial and residential solar and electrical systems.",37,CA,El Cajon,San Diego,2015,23.75,4380127.43,2031668.34,2348459.09,5,11.875,0.2538,0.3058,0.4404,1185197.745,1428027.858,2056584.267,0
524,Infieldercub,7599716.23,1356437.9,6243278.34,3.3,1768358,463147.21,1305210.79,2.35,527868.06,110806.11,417061.95,Advertising & Marketing,"Builds user-centered digital interactions like mobile apps, multi-screen optimized websites and enterprise scale e-commerce for its clients.",21,OR,Portland,"Portland, OR",2014,13.4,3298647.43,643463.74,2655183.69,6,6.7,0.1632,0.22,0.6168,221370.665,298416.338,836650.897,0
525,Clapperstrict,12998016.68,6201381.19,6796635.49,4.34,2434312,1608564.19,825747.81,5.64,366613.25,201387.76,165225.49,Energy,Distributes energy efficient medium- and high-voltage equipment to major utilities in the Detroit area to help commercial and residential customers decrease energy consumption.,26,MI,Detroit,Detroit,2017,34.45,5266313.98,2670444.38,2595869.6,3,17.225,0.272,0.2841,0.4439,1686775.684,1761812.396,2752793.11,0
526,Latvianemployment,7914058.84,1729823.43,6184235.4,3.44,1780714,313595.21,1467118.79,,,,,Computer Hardware,"Designs, manufactures and distributes public terminal systems and digital signage products to Fortune 100 companies and various US government branches. Its kiosk configurations are used in more than 35 industries including health care, hospitality and security.",27,AZ,Scottsdale,Phoenix,2018,,,,,2,,0.2788,0.218,0.5032,482274.772,377101.508,870447.15,0
527,Isstreets,8125954.02,2355699.6,5770254.42,4.58,1455716,299860.54,1155855.46,4.26,276752.09,80779.48,195972.61,Advertising & Marketing,"Provides search and digital marketing services including PPC, SEO, social media marketing, comparison shopping and feed management, display advertising and multichannel attribution management services.",193,VA,Charlottesville,"Charlottesville, VA",2014,28.36,3286140.7,912113.21,2374027.5,6,14.18,0.1746,0.2428,0.5826,411305.15,571963.863,1372430.587,0
528,Wealthabounding,5463764.89,2191140.01,3272624.88,4.02,1089461,524535.93,564925.07,4.28,206337.31,141804.78,64532.53,Retail,"Designs and sells durable linen and leather handbags, as well as coordinating scarves, beach towels and jewelry.",28,SC,Hilton Head Island,"Hilton Head Island-Beaufort, SC",2016,25.48,2253187.73,952493.57,1300694.16,4,12.74,0.2569,0.3419,0.4012,562903.869,749150.769,879085.372,0
529,Cleavagesling,12902155.84,1267421.84,11634734,3.73,2727160,270396.24,2456763.76,2.97,686942.07,100960.92,585981.15,Software,A software development and implementation firm that resells and implements ERP software for the manufacturing and distribution industries.,19,OH,Boardman,"Youngstown-Warren-Boardman, OH-PA",2016,17.78,5438752.64,546259.67,4892492.97,4,8.89,0.1952,0.308,0.4968,247400.743,390365.927,629655.17,1
530,Laboredshocked,12010459.5,1876605.82,10133853.68,2.33,3607377,542926.86,3064450.14,4.07,711514.2,133461.98,578052.22,IT Services,"Provides tailored technology services to organizations in the areas of technology support, cloud computing, data backup and recovery, network security, server virtualization, VoIP phones, website design, and project management.",23,OR,Medford,"Medford, OR",2012,15.88,5443116.9,850998.22,4592118.68,8,7.94,0.2474,0.3191,0.4335,464272.28,598824.917,813508.623,0
531,Appaloosasmiling,10744688.15,4750543.08,5994145.07,5.98,1539906,574808.97,965097.03,6.62,202087.4,86860.37,115227.03,IT Services,"Offers technological services to an array of international clients in the areas of engineering, IT, outsourcing, strategic planning, cyber security and government services.",75,NC,Charlotte,Charlotte,2014,52.17,4162227.18,1804070.81,2358156.38,6,26.085,0.2339,0.348,0.4181,1111152.026,1653188.992,1986202.062,0
532,Wimpleddrift,8836311.51,4138631.97,4697679.54,7.69,1016714,579766.24,436947.76,7.5,119613.41,67902.01,51711.4,Business Products & Services,"Provides court reporting, legal videography, ESI processing, Web-based document depositories and trial presentation and consulting services in Nevada and Arizona.",115,NV,Las Vegas,"Las Vegas-Paradise, NV",2016,72.87,3324212.97,1595433.41,1728779.57,4,36.435,0.263,0.2478,0.4892,1088460.208,1025553.002,2024618.76,0
533,Clasticmach,10501868.94,968517.83,9533351.11,4.48,1914851,175794.69,1739056.31,,,,,Retail,An online retail company focused on technology and software services to drive efficiency.,28,CT,Norwalk,"Bridgeport-Stamford-Norwalk, CT",2018,,,,,2,,0.2019,0.2821,0.516,195543.75,273218.88,499755.2,1
534,Moldsare,8527366.11,5442957.14,3084408.98,4.35,1594358,1011374.88,582983.12,4.5,289883.27,168576.38,121306.89,Advertising & Marketing,"A boutique agency specializing in online and TV media buying for clients in music, fashion and film.",13,CA,Culver City,Los Angeles,2017,28.42,3470535.79,2207636.13,1262899.66,3,14.21,0.2376,0.3484,0.414,1293246.616,1896326.268,2253384.256,0
535,Expandcostgullible,9164882.88,7237383.41,1927499.47,2.1,2957856,2687696.71,270159.29,1.95,1002663.05,704543.02,298120.03,IT Services,"Provides IT and enterprise software consulting services, using SAP and Oracle products including ERP, mobility and business intelligence applications.",25,VA,Chantilly,"Washington, DC",2016,8.14,4375133.98,3543207.71,831926.26,4,4.07,0.1589,0.3099,0.5312,1150020.224,2242865.119,3844498.067,0
536,Hypergalaxypegasus,9127758.76,2005195.4,7122563.35,3.92,1854007,370521.57,1483485.43,1.96,626353.72,101121.78,525231.94,Construction,"Provides landscaping maintenance to commercial properties, major landscaping installations and snow removal services.",103,UT,Centerville,"Ogden-Clearfield, UT",2013,13.57,3869373.16,825612.92,3043760.24,7,6.785,0.2137,0.2485,0.5378,428510.257,498291.057,1078394.086,0
537,Snashacceptor,8328299.92,5775683.67,2552616.25,4.62,1481608,1094791.59,386816.41,2.29,450336.78,319875.87,130460.91,Telecommunications,"Manufactures fiber optic equipment specializing in quality, cost-effective, OEM-compatible optical transceivers.",39,NY,Latham,"Albany-Schenectady-Troy, NY",2016,17.49,3420081.57,2396783.71,1023297.86,4,8.745,0.1871,0.2556,0.5573,1080630.415,1476264.746,3218788.509,0
538,Famousknucklehead,9996205.19,5010013.31,4986191.89,4.38,1856659,1415583.97,441075.03,3.27,434814.75,251067.09,183747.66,Human Resources,"A business management service that offers employee benefits, an internal gym and a travel service among other services to ensure business' employees feel valued.",45,CA,San Diego,San Diego,2014,21.99,4095892.98,2225554.79,1870338.19,6,10.995,0.186,0.2968,0.5172,931862.476,1486971.95,2591178.884,0
539,Collarbonebad,9426850.14,3974949.92,5451900.21,2.98,2365970,970712.59,1395257.41,2.12,758323.72,8899014.75,-8140691.03,Advertising & Marketing,"A design, print and mailing company that specializes in creating industry-specific marketing programs centered around a consistent weekly marketing message.",33,PA,Mohnton,"Reading, PA",2016,11.43,4183714.62,4614892.42,-431177.8,4,5.715,0.2284,0.2188,0.5528,907878.562,869719.042,2197352.316,0
540,Cateredsweep,9867522.49,3545234.38,6322288.12,3.16,2373442,746267.1,1627174.9,2.91,607018.41,242130.13,364888.28,Human Resources,"A professional staffing and consulting firm that provides staff augmentation, contractors and direct hire placements for positions in IT, project management and change management.",7,MN,Plymouth,Minneapolis,2016,15.26,4282660.97,1511210.54,2771450.43,4,7.63,0.1498,0.2593,0.5909,531076.11,919279.275,2094878.995,0
541,Rageenvious,7501734,3330828.71,4170905.3,4.55,1351866,598538.82,753327.18,3.24,318836.32,98525.21,220311.11,IT Services,Provides information technology engineering and management services to help solve customer problems through technology.,25,MD,Savage,Baltimore,2013,22.53,3057478.77,1342630.91,1714847.86,7,11.265,0.2119,0.2396,0.5485,705802.604,798066.559,1826959.547,0
542,Rowsitem,7323171.19,4126472.17,3196699.01,4.93,1235964,723202.69,512761.31,,,,,Energy,"Designs and delivers energy optimization services for electric, gas and water utility companies as well as residential, institutional and industrial organizations.",1184,TX,Austin,Austin,2018,,,,,2,,0.214,0.2317,0.5543,883065.044,956103.602,2287303.524,0
543,Falterfeline,8221812.27,4104330.72,4117481.55,4.47,1504196,801076.89,703119.11,4,300839.2,209261.33,91577.87,Energy,"A professional consulting firm delivering EPCM services, field service products and pipeline services to the energy industry",611,TX,Houston,Houston,2017,26.33,3342282.49,1704889.65,1637392.84,3,13.165,0.264,0.3136,0.4224,1083543.31,1287118.114,1733669.296,0
544,Rinkmusic,11533497.72,7331420.5,4202077.22,4.3,2174255,1040330.42,1133924.58,2.79,573682.06,522265.56,51416.5,Health,A health and wellness company in the household and personal care space creating products exclusively for babies. Its home cleaning and child care products are made of ingredients that create a baby-safe world for them to be able to openly explore.,37,NY,Westbury,New York City,2017,19.1,4760478.26,2964672.16,1795806.1,3,9.55,0.1499,0.2077,0.6424,1098979.933,1522736.038,4709704.529,0
545,Positiveneptunium,7708852.18,6223234.39,1485617.79,2.77,2044938,1250098.62,794839.38,1.86,715013.29,813234.62,-98221.33,Human Resources,"Provides strategic HR and employee benefits communications, including marketing communication strategy, custom websites and print campaigns.",24,CA,San Francisco,San Francisco,2014,9.78,3489601.16,2762189.21,727411.95,6,4.89,0.1765,0.2968,0.5267,1098400.87,1847055.967,3277777.553,0
546,Scoreboardchaos,8595811.58,7065343.23,1530468.35,3.72,1822029,1263219.07,558809.93,2.35,543889.25,388310.59,155578.66,Retail,"A chain of classic and used video game stores that offers more than 10,000 games, systems and accessories per store for old game machines such as Atari 2600, Intellivision and NES.",43,TX,Austin,Austin,2017,14.8,3653909.94,2905624.3,748285.65,3,7.4,0.1478,0.2513,0.6009,1044257.729,1775520.754,4245564.747,0
547,Stimulusbison,7646747.78,4620772.69,3025975.08,4.06,1512557,945918.98,566638.02,4.09,297162.48,191008.6,106153.88,Telecommunications,"A telecommunications provider delivering objective technical consulting on wide area networking, Internet and local/long distance voice needs.",16,NV,Reno,"Reno-Sparks, NV",2016,24.73,3152155.75,1919233.42,1232922.33,4,12.365,0.1731,0.233,0.5939,799855.753,1076640.037,2744276.901,0
548,Landmarksbutters,8330995.63,4086523.06,4244472.57,4.86,1420903,881104.47,539798.53,4.88,241650.17,158689.11,82961.06,Business Products & Services,"A warehousing, distribution and inventory management company that includes private label products, business analytics services and new product development.",92,SC,Lake Wylie,Charlotte,2014,33.48,3331182.93,1708772.21,1622410.72,6,16.74,0.243,0.3283,0.4287,993025.104,1341605.521,1751892.436,0
549,Picklescrudivore,9295570.9,563500.24,8732070.66,3.29,2166334,136117.55,2030216.45,1.61,830013.03,53065.18,776947.85,Health,"A psychiatric hospital system exclusively focused on eating disorders, providing the full spectrum of treatment services to adults, adolescents, children and their families.",539,CO,Denver,Denver,2014,10.2,4097305.98,250894.32,3846411.65,6,5.1,0.2595,0.3374,0.4031,146228.312,190124.981,227146.947,1
550,Pausehydrocarbon,6759408.88,2250021.64,4509387.24,3.45,1519879,495026.22,1024852.78,2.59,423364.62,215591.01,207773.61,Financial Services,"Operates 27 pawn and jewelry shops throughout central Florida, south Florida and Puerto Rico. La Familia's stores offer pawn loans and access to banking services such as bill pay, Western Union transactions and pre-paid debit cards.",239,FL,Maitland,"Orlando, FL",2016,14.97,2900884.17,986879.62,1914004.54,4,7.485,0.1598,0.3337,0.5065,359553.458,750832.221,1139635.961,0
551,Neodymiumscandalous,8022421.36,4248247.4,3774173.97,3.3,1865880,921413.28,944466.72,2.4,548788.24,460709.28,88078.96,IT Services,Offers IT staffing and consulting and software development and customization.,99,NJ,Edison,New York City,2015,13.62,3479029.87,1876789.99,1602239.88,5,6.81,0.2562,0.3282,0.4156,1088400.984,1394274.797,1765571.619,0
552,Februaryvanadium,7775649.91,5531003.71,2244646.2,3.05,1922231,3680615.13,-1758384.13,1.53,759775.1,9799634.62,-9039859.52,IT Services,"A technology consulting firm that provides cyber security, data visualization and program management for federal agencies and commercial clients in many industries, including financial services, healthcare and utilities.",116,MA,Rockland,,2014,9.23,3485885.34,6337084.49,-2851199.15,6,4.615,0.1898,0.2954,0.5148,1049784.504,1633858.496,2847360.71,0
553,Holdelongation,10885081.09,4794983.82,6090097.26,4.04,2159357,810212.02,1349144.98,5.26,344945.21,123507.03,221438.18,Real Estate,"A professional landlord service that helps property owners and investors rent and manage their residential real estate. It offers services for landlords including rent protection, property protection and eviction protection.",130,MN,Minnetonka,Minneapolis,2015,30.56,4463127.77,1909567.62,2553560.14,5,15.28,0.2525,0.3349,0.4126,1210733.415,1605840.081,1978410.324,0
554,Avogadroethanoate,10926953.81,4191046.22,6735907.6,3.51,2423022,1223653.36,1199368.64,1.5,969208.8,311708.73,657500.07,Health,Provides comprehensive corporate fitness and wellness programs to more than 4.5 million employees nationwide.,143,RI,Coventry,"Providence-New Bedford-Fall River, RI-MA",2014,10.27,4773061.54,1908802.77,2864258.77,6,5.135,0.277,0.323,0.4,1160919.803,1353707.929,1676418.488,0
555,Assuredcarbon,9401137.77,6368406.85,3032730.91,4.74,1637533,775175.5,862357.5,3.31,379938.05,144809.73,235128.32,Financial Services,Provides practice management and marketing tools for financial advisors nationwide.,23,FL,Summerfield,"Ocala, FL",2014,23.74,3806202.94,2429464.03,1376738.91,6,11.87,0.239,0.2834,0.4776,1522049.237,1804806.501,3041551.112,0
556,Indignantant,8744403.87,2803618.11,5940785.76,3.83,1809294,627322.57,1181971.43,2.41,530584.75,171821.43,358763.32,Business Products & Services,"Provides comprehensive audio-visual services to businesses. Services include consulting, integrated systems and maintenance.",14,NY,Hicksville,New York City,2015,15.48,3694760.87,1200920.7,2493840.17,5,7.74,0.2175,0.3169,0.4656,609786.939,888466.579,1305364.592,0
557,Annoyhog,12729197.65,5494846.62,7234351.03,3.37,2909536,803553.97,2105982.03,1.62,1110509.92,268731.37,841778.55,Health,"An interactive health supplement retailer that distributes natural supplements through a secure and friendly interactive online shopping environment, offering daily free shipping on more than 45,000 products. Its staff works with a board of healthcare advisors, naturopaths and chiropractors to keep up to date with customers' needs and healthcare industry trends.",90,FL,Medley,Miami,2013,10.46,5583081.19,2189043.99,3394037.2,7,5.23,0.166,0.2986,0.5354,912144.539,1640761.201,2941940.88,0
558,Dingalingflee,10896887.37,6187326.39,4709560.98,1.27,4791541,2473625.13,2317915.87,0.67,2869186.23,8946964.36,-6077778.13,Retail,An e-commerce retailer that shows online video demonstrations of the home goods and electronics that it ships from its warehouse.,44,IL,Tinley Park,Chicago,2015,2.8,6185871.53,5869305.29,316566.24,5,1.4,0.215,0.2258,0.5592,1330275.174,1397098.299,3459952.917,0
559,Sawbeloved,8609333.82,3173018.93,5436314.89,4.37,1602638,610603.13,992034.87,4.96,268898.99,85080.77,183818.22,Consumer Products & Services,A sport and social club that produces over 600 coed adult sports leagues in the US and abroad annually.,7,CA,San Diego,San Diego,2017,31.02,3493623.6,1289567.61,2204055.99,3,15.51,0.2326,0.2934,0.474,738044.203,930963.754,1504010.973,0
560,Equalityshape,6324593.06,7220454.63,-895861.57,4.95,1063559,1285438.08,-221879.08,4.54,191978.16,241602.91,-49624.75,Health,Offers patient-centered and technology-focused funding and asset management for hospitals and medical providers. Its goal is to provide continuity of care for under-insured accident victims.,27,CO,Denver,Denver,2010,31.94,2526710.07,2915831.87,-389121.8,10,15.97,0.2849,0.3174,0.3977,2057107.524,2291772.3,2871574.806,0
561,Kestrelpumpion,7023856.69,6453819.75,570036.94,3.51,1557346,1784626.06,-227280.06,4.03,309611.53,451630.7,-142019.17,Financial Services,"A mortgage lender with retail, wholesale and correspondent business channels.",1387,CA,Santa Ana,Los Angeles,2015,21.69,2963604.74,2896692.17,66912.57,5,10.845,0.2755,0.3365,0.388,1778027.341,2171710.346,2504082.063,0
562,Mathassertive,5804178.21,3549634.76,2254543.45,4.07,1145910,570764.48,575145.52,4.89,194551.78,94329.74,100222.04,IT Services,"Provides IT infrastructure engineering and support services to commercial customers, the federal government and the Department of Defense, including call center deployment and operations, virtual desktop infrastructure and IT logistics.",102,VA,Chantilly,"Washington, DC",2011,28.83,2381546.66,1404909.66,976637,9,14.415,0.1718,0.3044,0.5238,609827.252,1080508.821,1859298.687,0
563,Annoyingsmack,11835820.05,3315405.62,8520414.43,4.46,2168830,480790.35,1688039.65,3.02,539509.95,357110.91,182399.04,Advertising & Marketing,A full-service marketing and public relations firm specializing in media relations for technology companies ranging in size from startups to enterprise-level.,43,IL,Chicago,Chicago,2017,20.94,4848053.33,1384435.63,3463617.71,3,10.47,0.1833,0.207,0.6097,607713.85,686288.963,2021402.807,1
564,Cockamamieergot,7914630.75,6333864.61,1580766.14,3.04,1958525,2226971.91,-268446.91,3.12,475370.15,613625.46,-138255.31,Real Estate,Uses team support and technology to sell residential real estate in the Midwest.,10,KS,Overland Park,"Kansas City, MO-KS",2014,15.65,3449508.63,3058153.99,391354.64,6,7.825,0.2723,0.3081,0.4196,1724711.333,1951463.686,2657689.59,0
565,Wightmuon,6773124.31,7957743.42,-1184619.11,5.52,1039252,1243227.31,-203975.31,4.25,197952.76,332455.06,-134502.3,Retail,An online grass distributor that operates each of its divisions locally in order to ensure top quality product and delivery services.,13,TX,San Antonio,"San Antonio, TX",2017,33.22,2670109.69,3177808.6,-507698.91,3,16.61,0.1795,0.291,0.5295,1428414.944,2315703.335,4213625.141,0
